[22-Jun-2017 11:12:02] PHP Parse error:  syntax error, unexpected T_VARIABLE in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[22-Jun-2017 11:41:24] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 79
[27-Jun-2017 08:56:14] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 79
[11-Jul-2017 08:22:59] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 79
[11-Jul-2017 08:37:49] PHP Parse error:  syntax error, unexpected '[' in /var/www/workspace/apl/statory/statory_pdf.php on line 69
[11-Jul-2017 08:42:03] PHP Fatal error:  Cannot use object of type AplDB as array in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 08:42:27] PHP Fatal error:  Cannot use object of type AplDB as array in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 08:42:57] PHP Fatal error:  Cannot use object of type AplDB as array in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 08:49:10] PHP Fatal error:  Cannot use object of type AplDB as array in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 08:59:57] PHP Parse error:  syntax error, unexpected '}' in /var/www/workspace/apl/statory/statory_pdf.php on line 72
[11-Jul-2017 09:24:28] PHP Parse error:  syntax error, unexpected '}' in /var/www/workspace/apl/statory/statory_pdf.php on line 73
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:24:37] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 09:25:10] PHP Parse error:  syntax error, unexpected '}' in /var/www/workspace/apl/statory/statory_pdf.php on line 72
[11-Jul-2017 09:25:18] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 09:30:25] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 09:31:06] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 09:41:57] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 09:42:07] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 09:42:21] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 10:06:47] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 68
[11-Jul-2017 10:06:47] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 80
[11-Jul-2017 11:03:07] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW, expecting ']' in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 11:04:17] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW, expecting ']' in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 11:04:33] PHP Warning:  Invalid argument supplied for foreach() in /var/www/workspace/apl/statory/statory_pdf.php on line 75
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
[11-Jul-2017 13:23:23] PHP Warning:  json_decode() expects at least 1 parameter, 0 given in /var/www/workspace/apl/statory/statory_pdf.php on line 71
